   LON    LAT DEPTH  MAG NSTUSED NPHASEP NPHASES  MIND GAP  RMS    ERH    ERZ YYYY MM DD HH MN  SEC
50.791 29.644  32.4  0.0      13      13       0  64.2 332 0.24 175.76  71.50 2021 04 18 07 01 08.5
50.731 29.793  53.8  0.0      25      25      17  81.5 334 0.46  14.22  23.30 2021 04 18 07 10 28.4
50.740 29.700  54.8  0.0      17      17      14  85.4 334 0.28   9.32  13.60 2021 04 18 07 30 09.3
50.845 29.643  49.0  0.0      15      15      11  65.6 328 0.51  13.62  17.70 2021 04 18 08 02 04.6
50.713 29.692  48.2  0.0      14      14       9  84.9 335 0.39  18.57  29.80 2021 04 18 08 11 20.2
50.736 29.768  50.4  0.0      24      24      16  70.7 334 0.28   7.08  12.10 2021 04 18 08 50 40.6
50.705 29.718  52.8  0.0      23      23      14  67.0 333 0.27   7.58  10.50 2021 04 18 09 11 10.8
50.732 29.760  48.6  0.0      20      20      14  70.0 333 0.23   6.79  10.50 2021 04 18 09 12 53.0
50.620 29.629  76.7  0.0      12      12      11  82.5 344 0.31  26.23  19.10 2021 04 18 09 38 55.3
50.733 29.770  57.8  0.0      20      20      15  78.9 336 0.33  15.88  22.80 2021 04 18 09 38 55.2
50.741 29.664  59.8  0.0      14      14      11  80.5 334 0.30  13.37  16.80 2021 04 18 09 42 08.1
50.712 29.647  75.5  0.0      15      15       4  72.2 330 0.37  15.58  16.00 2021 04 18 09 57 30.1
50.727 29.697  57.2  0.0      21      21      16  64.0 334 0.38  10.15  13.60 2021 04 18 11 17 13.3
50.735 29.689  54.9  0.0      26      26      20  70.0 334 0.46  12.74  17.40 2021 04 18 12 26 03.6
50.771 29.707  46.2  0.0      21      21      16  63.1 331 0.32   8.58  14.40 2021 04 18 18 11 22.1
50.739 29.721  56.9  0.0      13      13      11  87.8 332 0.41  17.48  26.20 2021 04 18 19 23 53.3
50.608 29.950  71.0  0.0      17      17       7  94.2 341 0.39  27.08  28.70 2021 04 18 21 30 12.6
50.661 29.645  34.4  0.0      14      14       9  62.4 334 0.39  10.72  24.90 2021 04 18 22 21 32.8
50.965 29.674  11.2  0.0      22      22      15  65.2 329 0.36  13.11 999.90 2021 04 18 22 23 05.5
50.801 29.766  39.5  0.0      27      27      14  77.6 333 0.26   8.68  20.20 2021 04 18 22 26 20.3
50.699 29.669  59.9  0.0      24      24       9  62.6 335 0.36  11.24  14.30 2021 04 18 22 30 14.3
50.787 29.712  47.2  0.0      19      19      19  82.8 334 0.38  14.62  24.00 2021 04 18 22 36 35.9
50.634 29.658  47.3  0.0      29      29      14  69.3 335 0.33  10.15  15.70 2021 04 18 22 41 47.5
50.707 29.666  63.0  0.0      27      27      20  61.9 331 0.23   5.67   6.10 2021 04 18 22 43 52.7
50.795 29.767  34.0  0.0      27      27      15  77.7 335 0.31   9.12  24.90 2021 04 18 22 59 52.7
50.750 29.710  48.6  0.0      22      22      13  82.9 341 0.29  12.18  18.80 2021 04 18 23 11 14.1
50.902 29.718  29.2  0.0      20      20       4  71.5 334 0.41  20.26  59.50 2021 04 18 23 49 51.7
50.709 29.621  45.4  0.0      22      22      10  57.6 334 0.29  12.16  11.20 2021 04 18 23 52 39.0
50.725 29.647  58.2  0.0      29      29      14  65.7 333 0.32   9.39  11.50 2021 04 18 23 56 55.8
50.580 29.767  15.0  0.0      26      26      23  78.0 335 0.48 139.39 110.70 2021 05 01 19 14 22.8
50.841 29.624  51.4  0.0      35      35      27  52.0 327 1.25  25.53  24.00 2021 05 01 21 28 10.6
50.558 29.814  11.4  0.0      14      14      14  66.3 304 0.97  17.16 999.90 2021 05 02 20 07 23.5
50.781 29.706  11.4  0.0      23      23      15  62.6 286 1.15  56.80 138.00 2021 05 02 21 28 55.4
50.686 29.663  11.1  0.0      36      36      32  58.0 283 1.12  50.88  65.80 2021 05 02 21 33 23.2
50.821 29.594  58.5  0.0      29      29      24  58.4 330 0.99  25.55  29.70 2021 05 03 17 55 20.7
50.607 29.776  12.5  0.0      11      11      10  64.5 300 0.90  49.13 110.30 2021 05 03 18 30 02.7
50.554 29.779  10.7  0.0      12      12      10  62.6 302 1.09  90.49 196.20 2021 05 03 18 41 32.5
50.656 29.712  20.7  0.0      18      18      18  60.6 292 0.62   9.84  37.60 2021 05 04 18 53 25.4
50.493 29.911   7.1  0.0      15      15      14  74.8 312 2.84 219.84 276.60 2021 05 04 21 11 07.8
50.651 29.737  40.6  0.0      23      23      19  71.5 333 0.58  15.13  26.10 2021 05 04 21 11 12.8
50.608 29.794  15.0  0.0      16      16      16  66.3 303 1.85  31.08 327.60 2021 05 05 15 15 25.5
50.711 29.716  28.8  0.0       9       9       8  98.7 338 0.23  12.48  54.00 2021 05 05 15 15 27.7
50.636 29.743   8.7  0.0      26      26      26  62.5 298 0.56  22.27  27.40 2021 05 06 01 21 24.7
50.569 29.709  11.3  0.0      13      13       5  56.2 296 0.85  28.45 999.90 2021 05 06 19 42 29.7
50.570 29.688   7.0  0.0      33      33      28  54.1 290 0.66  21.81  27.10 2021 05 07 12 44 52.5
50.445 29.547  47.9  0.0      16      16       4  34.8 291 0.75  58.41  44.20 2021 05 08 06 49 42.4
50.649 29.694  11.6  0.0       4       4       4  58.5 292 1.09  65.46  78.20 2021 05 08 20 40 28.1
50.582 29.740  11.9  0.0       7       7       7  59.8 298 0.64  17.28 765.30 2021 05 08 21 46 43.7
50.511 29.530  38.1  0.0      32      32      27  36.1 275 1.67  35.14  59.80 2021 05 08 21 46 46.5
50.589 29.681  11.2  0.0      27      27      22  54.3 292 0.73  23.37  28.80 2021 05 08 23 18 41.5
50.614 29.591  33.7  0.0      18      18      14  60.6 333 0.45  12.80  22.90 2021 05 09 00 19 52.0
50.681 29.624  52.3  0.0      10      10       6  83.8 336 0.28  18.30  24.00 2021 05 09 00 35 26.1
50.630 29.724  15.6  0.0      16      16       8  60.5 295 0.62  22.87 250.90 2021 05 09 00 41 17.0
50.673 29.666  38.5  0.0       3       3       3 118.0 352 0.23  32.32  73.40 2021 05 09 09 21 11.0
50.544 29.530  44.4  0.0      32      32      29  37.9 272 1.80  33.33  44.30 2021 05 09 09 21 12.2
50.546 29.663  22.3  0.0      13      13      10  50.6 291 0.52  13.79  43.30 2021 05 09 12 55 10.1
50.694 29.797   7.0  0.0      12      12      10  70.6 299 0.81  58.42  75.90 2021 05 10 01 01 33.5
50.549 29.752  11.2  0.0      26      26      16  59.7 300 0.76  41.38  51.70 2021 05 10 01 23 37.0
50.543 29.653  12.0  0.0       9       9       5  49.5 290 0.72  51.39 115.40 2021 05 10 09 14 12.7
50.566 29.727  15.0  0.0       7       7       5  57.8 298 0.50  18.05 999.90 2021 05 10 09 14 12.3
50.639 29.689  11.6  0.0      23      23      15  57.6 291 0.52   7.25 407.60 2021 05 10 09 31 20.3
50.840 29.660  54.5  0.0      10      10       5  55.8 332 0.27  11.22  13.10 2021 05 11 04 44 38.4
50.592 29.661  11.0  0.0      27      27      26  52.5 289 0.55  15.88  36.20 2021 05 12 03 34 07.4
50.609 29.701  30.7  0.0      10      10      10  57.2 290 0.46  12.78  28.20 2021 05 12 16 11 42.6
50.605 29.732  10.7  0.0      24      24      23  60.0 296 0.77  27.67  34.20 2021 05 12 16 11 43.1
50.649 29.714  11.5  0.0       5       5       5  60.5 290 0.94  28.80 999.90 2021 05 12 16 26 17.8
50.730 29.658  28.6  0.0      30      30      30  77.3 333 0.63  14.79  45.60 2021 05 12 16 26 19.8
50.592 29.746  12.2  0.0      16      16      14  60.8 298 0.65  19.42 999.90 2021 05 12 16 29 05.6
50.530 29.695  11.1  0.0      19      19       8  53.2 296 0.58  15.51 999.90 2021 05 12 16 54 38.1
50.555 29.663  21.4  0.0       9       9       8  51.0 291 0.75  13.59  47.40 2021 05 12 17 46 54.0
