 Year Date HRMM  Sec Latitud Longitud Depth Error Error Error NST  RMS GAP
 2021  2 2 0357 10.5  28.962   50.930  10.5   0.5   0.5   0.6  18  0.1 109
 2021  2 2 0623  1.4  29.045   51.366   7.5   1.2   4.2   6.2   7  0.1 289
 2021  2 2 0030 58.2  28.903   51.341   3.5   0.5   0.9   0.5   9  0.1 232
 2021  2 2 0131  5.1  28.961   50.925  11.2   0.6   0.5   0.7  19  0.1 128
 2021  2 2 0810 54.9  28.828   51.322  11.9   0.7   1.7   1.8   7  0.1 263
 2021  2 2 0106  0.8  29.049   51.312   8.6   1.1   1.2   1.4   6  0.0 258
 2021  2 2 0351  7.1  28.630   51.129   5.6   0.6   0.6   0.9   6  0.0 182
 2021  2 2 1713 43.8  28.752   51.315  14.5   1.0   1.5   1.8   4  0.0 194
 2021  2 2 0202 32.4  28.966   51.127  11.3   0.5   0.3   0.6  18  0.1  86
 2021  2 2 0229 58.2  28.961   51.124  10.5   0.5   0.5   0.6  11  0.1  98
 2021  2 2 0301 32.5  28.967   51.129  12.4   0.4   0.4   0.8  22  0.1  79
 2021  2 2 0348  0.9  28.971   51.133  14.8   0.4   0.4   0.9  19  0.1  67
 2021  2 2 0411 34.2  28.966   51.128  11.6   0.6   0.5   0.8  11  0.1 100
 2021  2 2 0520 32.9  28.962   51.127  11.6   0.6   0.7   1.1   7  0.1 116
 2021  2 2 1610 59.4  28.985   51.009  12.2   0.4   0.4   0.7  25  0.1  82
 2021  2 2 1611 36.2  28.996   51.001  15.0   1.8   0.6   1.5   7  0.1 212
 2021  2 2 1614 49.3  28.997   51.005  13.4   0.6   0.4   0.7  26  0.1 145
 2021  2 2 1615  7.9  28.977   51.017  13.3   1.5   1.1   1.7   5  0.0 152
 2021  2 2 1619 40.9  28.987   51.009  11.7   1.1   0.7   1.3   9  0.1 148
 2021  2 2 1618 55.3  28.703   51.176   6.5   0.7   0.5   0.8   6  0.0  97
 2021  2 2 0017 52.7  29.003   51.254  10.2   0.5   0.6   0.5  22  0.1 171
 2021  2 2 0107 51.0  29.003   51.254  10.5   0.6   0.7   0.6  13  0.1 172
 2021  2 2 1025 25.2  28.982   51.346   6.3   0.9   1.3   1.1   7  0.1 290
 2021  2 2 2045 31.4  28.699   51.199  10.3   0.9   0.8   1.0   9  0.1  98
 2021  2 2 2219 20.6  29.264   51.319   5.5   2.6   2.4   2.9   9  0.1 294
 2021  2 2 2345 28.9  28.974   51.013  13.8   0.6   0.4   0.7  23  0.1  98
 2021  2 2 2348 45.1  28.980   51.015  12.8   1.0   0.5   0.8  14  0.1 141
 2021  2 2 0213  0.1  28.645   51.115  10.4   0.7   0.8   0.9   9  0.1 175
 2021  2 2 1400  5.5  29.247   51.365   6.2   2.4   2.8   5.1   8  0.1 291
 2021  2 2 1834 28.7  29.243   51.365   5.5   2.9   3.7   3.8   8  0.1 305
 2021  2 2 2251 43.5  29.243   51.374   7.5   1.2   1.5   2.6   7  0.1 307
 2021  2 2 0233 45.0  29.245   51.377   6.5   3.3   4.8   8.8   9  0.1 307
 2021  2 2 0724 56.8  29.251   51.368   8.2   1.1   1.4   1.7   6  0.1 307
 2021  2 2 0100  6.0  28.980   51.331   6.3   0.9   1.8   1.4   4  0.0 250
 2021  2 2 1122 56.6  29.218   51.378   5.5   1.4   2.0   1.9  33  0.1 282
 2021  2 2 1124  8.1  29.244   51.356   6.2   2.2   2.7   4.8   8  0.1 305
 2021  2 2 0015 45.0  28.940   50.796   7.9   0.6   0.9   0.7  13  0.1 264
 2021  2 2 2112  5.4  28.921   51.106  10.6   0.3   0.3   0.4  34  0.1  82
 2021  2 2 2112 23.9  28.920   51.104  10.6   0.4   0.3   0.4  34  0.1  81
 2021  2 2 2132 22.1  28.920   51.103   9.8   0.4   0.5   1.0  10  0.1  80
 2021  2 2 2218 38.8  28.916   51.107  10.5   0.3   0.3   0.4  31  0.1  81
 2021  2 2 2232 36.9  28.915   51.108   9.8   0.4   0.4   0.8  15  0.1  82
 2021  2 2 0107 12.4  28.926   51.081  12.0   0.8   1.5   1.7   6  0.0 143
 2021  2 2 0654 53.1  28.868   50.844   7.2   0.5   1.0   0.7  13  0.1 199
 2021  2 2 2101 36.2  29.255   51.368   7.0   2.3   2.7   4.9   8  0.1 308
 2021  2 2 0658  2.0  29.032   51.447   1.3   0.8   0.8   0.6  14  0.1 272
 2021  2 2 1947  1.3  29.051   51.218  12.7   0.6   0.8   0.9  10  0.1 188
 2021  2 2 2121 39.7  29.204   51.392   6.7   1.0   1.4   2.2  20  0.1 300
 2021  2 2 0035 45.3  28.628   51.187   7.8   0.7   0.7   3.9   8  0.1 154
 2021  2 2 0628 35.6  28.829   50.860   8.0   1.0   1.6   1.2   8  0.1 248
 2021  2 2 1902 56.0  29.064   51.356   7.9   0.5   0.7   0.8  20  0.1 278
 2021  2 2 0550 40.9  29.054   51.343   5.7   0.7   1.6   1.3   9  0.1 285
 2021  2 2 0149  7.5  28.832   50.864   7.3   0.7   1.1   0.8  10  0.1 229
 2021  2 2 1442 27.9  28.831   50.860   7.5   0.7   1.1   0.9  10  0.1 233
 2021  2 2 1536 41.5  28.831   50.852   8.1   0.8   1.3   1.0   9  0.1 257
 2021  2 2 1550 48.6  28.817   50.855   7.4   1.1   1.6   1.4   8  0.1 276
 2021  2 2 1642 55.2  28.824   50.848   7.6   0.7   1.1   1.0  10  0.1 254
 2021  2 2 1654 51.7  28.829   50.866   8.0   0.8   1.1   0.6  12  0.1 236
 2021  2 2 1714 27.7  29.233   51.315   2.6   2.7   3.1   3.2  13  0.1 296
 2021  2 2 1919 18.6  28.826   50.860   7.9   0.4   0.5   0.4  29  0.1 206
 2021  2 2 2330 25.9  29.078   51.387   5.7   0.6   0.9   1.1  32  0.1 270
 2021  3 3 0020 41.7  28.830   50.866   7.7   2.5   1.9   1.5   6  0.1 235
 2021  3 3 0201  8.1  28.756   51.136   7.3   0.5   0.3   1.9  28  0.1  78
 2021  3 3 0440 41.2  28.828   50.868   7.8   2.5   2.0   1.5   6  0.1 235
 2021  3 3 2129 38.9  28.827   50.849   7.6   1.1   1.5   1.5   9  0.1 249
 2021  3 3 2314 13.2  28.995   51.047  10.8   0.9   0.6   0.7   9  0.1 138
 2021  3 3 2352  9.5  28.830   50.864   7.6   0.6   0.9   0.6  12  0.1 232
 2021  3 3 0133 46.1  28.824   50.854   6.4   0.8   1.2   1.1   8  0.1 268
 2021  3 3 0134 58.3  28.831   50.869   7.9   0.6   0.9   0.6  16  0.1 223
 2021  3 3 1207 36.5  28.920   51.108  10.3   0.4   0.5   0.7  15  0.1 125
 2021  3 3 1208  7.8  28.913   50.753   6.9   1.1   1.0   0.7  12  0.1 292
 2021  3 3 1310 33.4  28.829   50.859   8.0   1.0   1.6   1.2   8  0.1 251
 2021  3 3 1323 39.9  28.833   50.863   6.1   0.6   0.9   0.7  10  0.1 226
 2021  3 3 1327 15.6  28.831   50.861   7.0   0.7   1.1   0.6  10  0.1 233
 2021  3 3 1346  4.1  28.822   50.857   7.5   1.3   1.5   1.3   7  0.1 266
 2021  3 3 1426 26.5  28.834   50.865   6.5   0.6   1.0   0.7  10  0.1 227
 2021  3 3 1549 35.8  28.830   50.869   6.4   0.8   1.4   0.8   9  0.1 228
 2021  3 3 1559  9.3  28.823   50.855   8.2   1.1   1.5   1.2   8  0.1 251
 2021  3 3 1810 20.3  29.074   51.368   4.0   0.6   0.6   0.3  14  0.1 266
 2021  3 3 2127 21.9  28.650   51.199   9.5   0.6   1.2   1.5   8  0.1 157
 2021  3 3 2214 24.1  28.826   50.855   8.0   1.3   1.7   1.3   8  0.1 245
 2021  3 3 2316 52.2  28.824   50.861   7.2   1.0   1.4   1.2   8  0.1 256
 2021  3 3 2346  1.6  28.833   50.866   5.8   0.7   1.0   0.8   9  0.1 257
 2021  3 3 2348 12.9  28.916   51.331   4.1   0.4   1.1   0.5   8  0.1 234
 2021  3 3 0026  6.6  28.829   50.858   8.0   0.8   1.3   1.0  11  0.1 238
 2021  3 3 1049  2.0  28.831   50.870   8.9   0.9   1.4   1.0  10  0.1 223
 2021  3 3 1125 14.7  28.835   50.854   7.0   0.8   1.3   1.0   8  0.1 251
 2021  3 3 2106 19.5  28.844   50.861   6.7   1.2   1.5   1.1   6  0.1 213
 2021  3 3 0031 38.0  28.836   50.857  10.9   1.2   2.1   1.1   9  0.1 241
 2021  3 3 0102 30.3  28.830   50.861   7.9   0.8   1.3   1.0  11  0.1 234
 2021  3 3 0219 57.4  28.836   50.859   6.5   0.7   1.1   0.8   9  0.1 238
 2021  3 3 0748 48.2  28.964   50.752   8.9   0.4   0.8   0.6  28  0.1 266
 2021  3 3 1631 57.4  28.635   50.925  10.3   1.0   0.9   0.9  10  0.1 303
 2021  3 3 1749 54.1  28.829   50.858   8.7   1.1   1.7   1.2   8  0.1 252
 2021  3 3 2355 32.8  28.837   50.883   9.6   0.7   1.0   0.7  12  0.1 131
 2021  3 3 2355 41.9  28.832   50.858   7.4   0.8   1.1   1.0   9  0.1 235
 2021  3 3 1933  7.7  28.942   51.339   3.6   0.3   0.8   0.4  23  0.1 228
 2021  3 3 1940 21.5  28.940   51.326   3.6   0.3   0.6   0.3  20  0.1 221
 2021  3 3 1949 10.1  28.936   51.380   7.9   0.8   0.8   0.9  23  0.0 264
 2021  3 3 2313 12.7  28.945   51.327   4.0   0.4   1.2   0.5   8  0.1 237
 2021  3 3 2325 25.2  28.877   51.334   2.9   0.5   0.9   0.6   9  0.1 212
 2021  3 3 0145 34.5  28.943   51.323   2.8   0.4   1.2   1.2   4  0.0 233
 2021  3 3 1637 50.5  29.231   51.365   4.2   2.0   2.4   2.5  19  0.1 288
 2021  3 3 0641 11.3  28.964   51.363   8.1   1.3   1.2   1.4   7  0.1 262
 2021  3 3 0806  4.1  28.945   51.332   2.8   0.4   0.9   1.2   5  0.0 242
 2021  3 3 1051  1.1  28.947   51.339   5.0   0.5   0.9   0.5  15  0.1 244
 2021  3 3 1301 12.3  28.943   51.337   3.7   0.4   0.8   0.4  10  0.1 242
 2021  3 3 2050 59.6  28.955   51.381   7.0   0.5   2.1   2.9  14  0.1 260
 2021  3 3 0217 26.4  28.946   51.342   4.9   0.4   0.7   0.4  22  0.1 245
 2021  3 3 1904 42.4  28.828   50.863   8.1   1.4   1.7   1.2   7  0.1 245
 2021  3 3 2121 17.6  28.946   51.340   3.8   0.4   0.9   0.4  12  0.1 244
 2021  3 3 2214 44.2  28.944   51.343   4.3   0.4   0.8   0.4  29  0.1 245
 2021  3 3 0028  8.4  29.059   51.332   9.3   0.8   0.8   0.8  15  0.1 267
 2021  3 3 0038  1.8  28.836   50.855   8.1   1.5   1.9   1.4   6  0.1 249
 2021  3 3 0119  7.8  28.943   51.332   3.8   0.4   1.0   0.5  10  0.1 239
 2021  3 3 0210 32.2  28.944   51.339   3.7   0.4   0.6   0.3  30  0.1 243
 2021  3 3 1817 19.7  28.834   50.861   8.3   1.0   1.6   1.0   8  0.1 237
 2021  3 3 1119 29.5  28.830   50.865   7.7   0.6   0.8   0.6  13  0.1 230
 2021  3 3 1938 53.9  28.835   50.871   8.4   1.5   2.2   1.3   7  0.1 208
 2021  3 3 0321 13.1  28.826   50.855   7.0   1.1   1.4   0.9   6  0.0 268
 2021  3 3 2254 38.9  28.693   51.175   8.8   0.6   0.4   0.8  17  0.1 221
 2021  3 3 2007 48.9  28.828   50.861   8.1   0.9   1.8   1.3   9  0.1 250
 2021  3 3 1527 40.2  28.924   50.869  10.2   0.4   0.5   0.5  18  0.1  82
 2021  3 3 2130 10.0  28.828   50.856   7.9   0.4   0.6   0.5  18  0.1 211
 2021  3 3 2259 47.8  28.828   50.860   7.2   0.6   0.6   0.6  16  0.1 239
 2021  3 3 2309 47.7  28.922   50.827   7.7   0.5   1.1   0.8  11  0.1 191
 2021  3 3 2329 13.7  28.913   50.966  10.8   0.4   0.4   0.5  25  0.1  56
 2021  3 3 2353 10.2  28.598   51.085   8.5   1.0   0.6   1.2  11  0.1 287
 2021  3 3 0006 34.8  28.832   50.865   8.1   0.6   1.0   0.6  13  0.1 226
 2021  3 3 0041 39.8  28.923   50.872  10.1   0.4   0.6   0.5  18  0.1  88
 2021  3 3 1438 10.5  29.126   50.805   9.7   0.5   0.8   0.7  24  0.1 256
 2021  3 3 1339 13.6  28.952   51.360   7.5   0.6   0.6   0.8  20  0.1 288
 2021  3 3 1903 55.8  29.050   51.329   8.1   0.5   0.6   0.8  16  0.1 251
 2021  3 3 0245 15.9  29.101   51.330   8.2   0.6   0.7   1.1  14  0.1 259
 2021  3 3 0828 14.7  28.952   51.353   3.6   0.7   1.7   0.7   8  0.0 264
 2021  3 3 1458  4.9  28.943   51.333   3.8   0.6   0.9   0.6   9  0.1 253
 2021  3 3 2203 34.4  29.130   50.792   9.7   0.5   0.8   0.6  31  0.1 261
 2021  3 3 2322  6.5  28.953   51.046  10.9   0.5   0.3   0.4  21  0.1 103
 2021  3 3 1106 31.8  29.035   51.328   5.4   1.0   0.9   0.4  11  0.0 281
 2021  3 3 1811 35.5  29.146   51.295   8.0   0.5   0.8   0.9  16  0.1 260
 2021  3 3 0101 17.8  28.889   51.292   9.9   0.5   0.8   0.6  17  0.1 188
 2021  3 3 0222 18.8  28.800   51.002   8.7   1.3   0.4   1.6  11  0.0 182
 2021  3 3 0737 35.3  28.804   50.998  10.1   1.0   0.4   1.0  13  0.1 177
 2021  3 3 0738 40.3  28.801   50.999   9.7   0.5   0.4   1.3  16  0.1 182
 2021  3 3 0849 54.4  28.804   50.999   9.5   1.0   0.4   1.6  10  0.1 178
 2021  3 3 0923 11.3  28.813   51.308   9.0   0.4   0.9   1.2  15  0.1 196
 2021  3 3 0949 17.7  28.800   50.997  10.0   1.4   0.6   1.4   9  0.1 183
 2021  3 3 1437 38.2  28.790   50.863   6.5   1.2   1.8   0.9   8  0.1 300
 2021  3 3 0014 40.3  28.933   50.827   9.3   1.0   2.0   1.2   8  0.1 195
 2021  3 3 2309 43.2  28.807   51.000   9.2   0.5   0.4   1.3  12  0.1 125
 2021  3 3 2316  4.0  28.805   50.998   9.8   0.4   0.3   0.6  32  0.1 128
 2021  3 3 1033 10.1  28.820   51.009   9.9   1.3   1.0   1.9   7  0.1 185
 2021  4 4 0046  2.1  28.661   51.209   9.5   0.5   0.6   0.7  14  0.1 124
 2021  4 4 0821 11.9  28.999   51.248  13.3   0.9   1.0   1.5   7  0.1 157
 2021  4 4 0835 16.3  28.927   50.921  10.7   0.4   0.5   0.6  16  0.1 133
 2021  4 4 0836 57.5  28.925   50.927   5.8   0.7   1.3   3.6   8  0.1 211
 2021  4 4 0836 57.1  28.927   50.918  10.6   0.5   0.5   0.6  18  0.1 134
 2021  4 4 0837 23.3  28.928   50.922  10.8   0.4   0.5   0.6  15  0.1 118
 2021  4 4 0837 48.6  28.949   50.932  15.9   0.9   0.9   0.8  12  0.1 147
 2021  4 4 0838 38.6  28.931   50.918  10.8   0.6   0.6   0.8  13  0.1 143
 2021  4 4 0839 54.3  28.925   50.919  10.4   0.7   0.6   0.9  11  0.1 127
 2021  4 4 0841 45.8  28.929   50.927  11.8   0.5   0.6   0.7  15  0.1 134
 2021  4 4 0843 10.8  28.926   50.911  10.3   0.5   0.5   0.8  13  0.1 108
 2021  4 4 0843 35.3  28.925   50.919  10.0   0.4   0.5   0.7  16  0.1 120
 2021  4 4 0843 58.9  28.924   50.920  10.1   0.4   0.5   0.7  17  0.1 125
