   LON    LAT DEPTH  MAG NSTUSED NPHASEP NPHASES  MIND GAP  RMS    ERH    ERZ YYYY MM DD HH MN  SEC
50.856 28.834   8.0  0.0       8       8       8   1.9 249 0.06   1.66   1.00 2021 02 02 06 28 35.6
50.865 28.834   7.6  0.0      10      10      10   1.0 222 0.06   1.22   0.80 2021 02 02 01 49 07.5
50.859 28.831   7.7  0.0      10      10      10   1.7 234 0.07   1.44   1.00 2021 02 02 14 42 27.9
50.867 28.831   8.6  0.0       9       9       9   1.0 228 0.06   1.61   0.90 2021 02 02 15 36 41.5
50.853 28.822   7.7  0.0       8       8       7   2.8 272 0.07   1.89   1.30 2021 02 02 15 50 48.6
50.852 28.825   8.2  0.0      10      10      10   2.6 250 0.08   1.58   1.10 2021 02 02 16 42 55.2
50.865 28.831   8.0  0.0      12      12       9   1.2 234 0.06   1.22   0.60 2021 02 02 16 54 51.7
50.861 28.826   8.2  0.0      29      29      22   1.9 206 0.09   0.64   0.50 2021 02 02 19 19 18.6
50.850 28.816   6.4  0.0       6       6       6   3.3 282 0.08   2.78   2.20 2021 03 03 00 20 41.7
50.854 28.830   7.5  0.0       6       6       6   2.1 257 0.09   3.50   1.90 2021 03 03 04 40 41.2
50.844 28.826   7.1  0.0       9       9       6   3.2 254 0.07   1.63   1.30 2021 03 03 21 29 38.9
50.855 28.829   7.1  0.0      12      12      11   2.1 241 0.06   1.08   0.70 2021 03 03 23 52 09.5
50.851 28.824   6.1  0.0       8       8       8   2.7 271 0.06   1.22   0.90 2021 03 03 01 33 46.1
50.865 28.833   7.6  0.0      16      16      10   1.1 224 0.06   1.08   0.60 2021 03 03 01 34 58.3
50.850 28.831   7.7  0.0       8       8       8   2.5 266 0.07   1.66   1.10 2021 03 03 13 10 33.4
50.859 28.832   5.9  0.0      10      10      10   1.7 234 0.07   1.08   0.70 2021 03 03 13 23 39.9
50.862 28.826   7.2  0.0      10      10      10   1.7 240 0.07   1.30   0.80 2021 03 03 13 27 15.6
50.857 28.829   7.6  0.0       7       7       7   2.0 255 0.08   2.27   1.50 2021 03 03 13 46 04.1
50.863 28.834   6.6  0.0      10      10      10   1.2 232 0.07   1.25   0.80 2021 03 03 14 26 26.5
50.856 28.829   6.2  0.0       9       9       6   2.1 256 0.06   1.48   0.80 2021 03 03 15 49 35.7
50.847 28.823   8.0  0.0       8       8       8   3.2 257 0.07   1.64   1.20 2021 03 03 15 59 09.3
50.869 28.833   8.6  0.0       8       8       8   0.7 218 0.08   2.28   1.10 2021 03 03 22 14 24.1
50.857 28.826   6.6  0.0       8       8       7   3.4 260 0.07   1.58   1.10 2021 03 03 23 16 52.3
50.864 28.834   5.9  0.0       9       9       9   1.1 257 0.07   1.22   0.80 2021 03 03 23 46 01.6
50.870 28.834   8.5  0.0      11      11      11   0.6 214 0.06   1.39   0.80 2021 03 03 00 26 06.6
50.857 28.824   8.3  0.0      10       9      10   2.3 248 0.08   1.66   1.10 2021 03 03 10 49 02.0
50.853 28.835   6.9  0.0       8       8       8   2.1 254 0.08   1.53   1.00 2021 03 03 11 25 14.7
50.856 28.827   6.0  0.0       6       6       6   3.3 259 0.07   1.84   1.50 2021 03 03 21 06 19.5
50.857 28.835  11.1  0.0       9       9       8   1.8 244 0.08   2.51   1.20 2021 03 03 00 31 37.9
50.863 28.830   7.7  0.0      11       9      11   1.4 232 0.07   1.44   0.90 2021 03 03 01 02 30.3
50.866 28.835   6.8  0.0       9       9       9   0.9 221 0.07   1.44   0.90 2021 03 03 02 19 57.4
50.843 28.827   7.9  0.0       8       8       8   3.3 281 0.06   1.58   1.10 2021 03 03 17 49 54.1
50.880 28.833   9.5  0.0      12      12      11   0.6 192 0.06   1.30   0.60 2021 03 03 23 55 32.8
50.861 28.835   7.8  0.0       9       9       9   2.5 224 0.06   1.44   0.90 2021 03 03 23 55 41.9
50.857 28.831   7.9  0.0       7       7       7   1.9 250 0.08   2.34   1.40 2021 03 03 19 04 42.4
50.844 28.825   7.1  0.0       6       6       6   3.2 280 0.08   1.98   1.50 2021 03 03 00 38 01.8
50.864 28.838   8.4  0.0       8       8       8   1.1 220 0.07   1.84   1.00 2021 03 03 18 17 19.7
50.860 28.828   7.5  0.0      13      13      11   1.8 240 0.07   1.08   0.80 2021 03 03 11 19 29.5
50.854 28.829   7.4  0.0       7       7       6   2.2 260 0.08   2.36   1.70 2021 03 03 19 38 53.9
50.858 28.829   7.8  0.0       6       5       4   3.0 262 0.08   2.20   1.80 2021 03 03 03 21 13.0
50.858 28.829   7.8  0.0       9       8       8   1.9 252 0.08   2.01   1.40 2021 03 03 20 07 49.0
50.856 28.827   7.8  0.0      18      17      14   2.2 212 0.07   0.86   0.50 2021 03 03 21 30 09.9
50.859 28.829   7.0  0.0      16      15      13   1.8 237 0.05   0.78   0.20 2021 03 03 22 59 47.8
50.861 28.829   8.0  0.0      13      13      10   1.6 236 0.06   1.30   0.60 2021 03 03 00 06 34.8
50.854 28.840   6.1  0.0      14      14      14   2.0 226 0.06   0.72   0.50 2021 05 05 20 43 27.6
