                        ORT    Lon    Lat  Dep  Nus  NuP  NuS   MDS  GAP  RMS  ERH  ERZ  MAG
2020-01-01T00:01:40.000000Z 52.363 35.863  7.0   10   10   10 35.60 None  0.0 None None  5.0
2020-01-01T00:03:20.000000Z 51.882 35.760 17.7    5    5    5 62.10 None  0.0 None None  2.5
2020-01-01T00:05:00.000000Z 52.194 35.485 16.5   10   10   10 63.30 None  0.0 None None  5.0
2020-01-01T00:06:40.000000Z 52.390 35.830  8.8    5    5    5 39.70 None  0.0 None None  2.5
2020-01-01T00:08:20.000000Z 52.071 35.944 12.4    5    5    5 69.00 None  0.0 None None  2.5
2020-01-01T00:10:00.000000Z 52.327 35.539 11.7    8    8    8 61.60 None  0.0 None None  4.0
2020-01-01T00:11:40.000000Z 51.928 35.914 14.8   10   10   10 17.10 None  0.0 None None  5.0
2020-01-01T00:13:20.000000Z 52.254 35.754 16.8    6    6    6 37.40 None  0.0 None None  3.0
2020-01-01T00:15:00.000000Z 51.961 35.804  6.4    5    5    5 54.60 None  0.0 None None  2.5
2020-01-01T00:16:40.000000Z 52.009 36.130  5.4    7    7    7 22.20 None  0.0 None None  3.5
2020-01-01T00:18:20.000000Z 51.754 36.256 17.5    8    8    8 34.80 None  0.0 None None  4.0
2020-01-01T00:20:00.000000Z 52.202 36.112 11.5    7    7    7 16.00 None  0.0 None None  3.5
2020-01-01T00:21:40.000000Z 52.201 35.847 16.4    7    7    7 76.10 None  0.0 None None  3.5
2020-01-01T00:23:20.000000Z 51.973 35.791  5.0    6    6    6 87.90 None  0.0 None None  3.0
2020-01-01T00:25:00.000000Z 51.940 36.119 11.7    4    4    4 28.00 None  0.0 None None  2.0
2020-01-01T00:26:40.000000Z 51.845 35.911 15.8    5    5    5 49.90 None  0.0 None None  2.5
2020-01-01T00:28:20.000000Z 51.846 35.811  8.4    6    6    6 30.70 None  0.0 None None  3.0
2020-01-01T00:30:00.000000Z 51.850 35.997 19.2    8    8    8 42.70 None  0.0 None None  4.0
