                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    MDS   GAP  RMS    ERH   ERZ  MAG
2020-01-01T00:01:40.100000Z 52.365 35.868  7.7    8   10   10  35.40 220.0  0.4    4.7   3.7  5.0
2020-01-01T00:03:19.300000Z 51.856 35.719 18.6    5    5    5  67.20 311.0  0.3   12.1   6.5  2.5
2020-01-01T00:04:59.600000Z 52.183 35.478 15.4    9   10   10  63.80 254.0  0.3    5.2   6.1  5.0
2020-01-01T00:06:40.500000Z 52.404 35.836 10.7    4    5    5  40.30 255.0  0.0    4.9   3.3  2.5
2020-01-01T00:08:20.100000Z 52.079 35.957 10.0    5    5    5  67.30 301.0  0.3    5.0   3.6  2.5
2020-01-01T00:10:00.000000Z 52.330 35.548 10.0    8    8    8  60.90 272.0  0.4    7.1   8.0  4.0
2020-01-01T00:11:39.500000Z 51.915 35.901 14.7    8   10   10  19.00 226.0  0.2    3.2   1.8  5.0
2020-01-01T00:13:19.800000Z 52.261 35.724 18.1    6    6    6  40.60 258.0  0.2    5.1   3.8  3.0
2020-01-01T00:15:00.000000Z 51.965 35.816  4.2    5    5    5  53.30 232.0  0.3    4.5   5.7  2.5
2020-01-01T00:16:40.600000Z 52.002 36.175  6.5    6    7    7  20.00 191.0  0.3    6.9   2.7  3.5
2020-01-01T00:18:19.100000Z 51.695 36.269 10.0    8    8    8  39.70 252.0  0.6   11.5  13.1  4.0
2020-01-01T00:19:59.600000Z 52.219 36.092  9.3    7    7    7  17.50 166.0  0.3    4.4   2.8  3.5
2020-01-01T00:21:40.000000Z 52.210 35.838 15.5    6    7    7  76.00 225.0  0.3    5.5   6.6  3.5
2020-01-01T00:23:20.500000Z 51.996 35.798  6.9    5    6    6  86.50 257.0  0.2    5.0   4.2  3.0
2020-01-01T00:24:59.900000Z 51.994 36.077 14.6    3    4    4  27.20 319.0  0.3 1387.9 790.7  2.0
2020-01-01T00:26:40.300000Z 51.787 35.967 20.8    5    5    5  49.10 298.0  0.3   14.9   8.6  2.5
2020-01-01T00:28:20.500000Z 51.834 35.839  9.4    6    6    6  28.80 315.0  0.3    7.1   2.4  3.0
2020-01-01T00:30:00.500000Z 51.864 36.028 18.9    7    8    8  39.50 220.0  0.4    7.2   3.9  4.0
2020-01-01T00:31:40.800000Z 51.779 36.081 19.6    5    5    5  23.50 279.0  0.2    6.9   2.9  2.5
2020-01-01T00:33:20.400000Z 52.378 36.170  4.1    8    9    9  34.00 157.0  0.3    2.4   4.3  4.5
2020-01-01T00:34:59.900000Z 51.950 35.819  1.3    9    9    9  25.80 247.0  0.4    4.0   3.8  4.5
2020-01-01T00:36:39.800000Z 51.827 36.372 14.1    5    5    5  35.90 279.0  0.3    7.7   2.2  2.5
2020-01-01T00:38:17.800000Z 51.952 35.739 24.4    4    5    5  34.30 293.0  0.0   17.4   5.0  2.5
2020-01-01T00:40:00.100000Z 52.044 36.465 11.0   10   10   10  27.10 103.0  0.3    2.0   3.2  5.0
2020-01-01T00:41:40.100000Z 52.024 36.142  9.2    9    9    9  11.20 108.0  0.4    2.6   4.3  4.5
2020-01-01T00:43:20.600000Z 52.064 35.957 11.5    6    7    7  35.40 216.0  0.3    4.8   5.0  3.5
2020-01-01T00:44:59.500000Z 51.730 35.898  5.4    9    9    9  31.80 293.0  0.4   10.5   3.5  4.5
2020-01-01T00:46:40.000000Z 51.957 36.140  6.3    8    9    9  13.10 137.0  0.4    3.4   3.3  4.5
