                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    MDS   GAP  RMS   ERH   ERZ  MAG
2020-01-01T00:01:40.400000Z 52.369 35.871  8.7    7    8    8  35.50 220.0  0.4   4.1   4.3  4.0
2020-01-01T00:03:21.000000Z 51.890 35.787 23.4    5    6    6  59.10 294.0  0.4  11.6   5.7  3.0
2020-01-01T00:04:59.200000Z 52.190 35.484 10.0    5    5    5  85.70 293.0  0.5  21.0  11.0  2.5
2020-01-01T00:06:39.700000Z 52.406 35.838  6.4    6    6    6  40.40 254.0  0.3   4.0   2.2  3.0
2020-01-01T00:08:20.400000Z 52.087 35.959 11.0    6    6    6  66.90 290.0  0.4   6.0   3.7  3.0
2020-01-01T00:10:00.000000Z 52.322 35.561  9.1    7    9    9  59.20 247.0  0.4   6.2   5.0  4.5
2020-01-01T00:11:39.300000Z 51.925 35.891 14.2    7    9    9  19.30 298.0  0.2   4.6   1.4  4.5
2020-01-01T00:13:19.300000Z 52.235 35.725 15.8    6    7    7  39.40 286.0  0.4   8.4   5.4  3.5
2020-01-01T00:15:00.300000Z 51.924 35.783 11.5    6    6    6  58.10 237.0  0.3   6.9   5.4  3.0
2020-01-01T00:16:40.400000Z 52.006 36.144  8.1    5    8    8  21.50 314.0  0.3   5.7   3.3  4.0
2020-01-01T00:18:19.600000Z 51.727 36.250 20.2    8    9    9  36.10 249.0  0.4   9.5   5.4  4.5
2020-01-01T00:19:59.900000Z 52.223 36.091 15.1    8    8    8  17.80 167.0  0.2   3.6   2.7  4.0
2020-01-01T00:21:38.200000Z 52.207 35.762 12.6    7    8    8  81.40 232.0  0.4  11.3  10.1  4.0
2020-01-01T00:23:19.800000Z 51.971 35.764  6.1    6    7    7  58.40 237.0  0.3   5.7   6.6  3.5
2020-01-01T00:25:00.200000Z 51.933 36.159 10.0    5    5    5  26.30 194.0  0.1   3.5   6.3  2.5
2020-01-01T00:26:39.300000Z 51.819 35.897 13.7    6    6    6  25.20 300.0  0.5   9.7   3.3  3.0
2020-01-01T00:28:19.700000Z 51.816 35.796 10.0    7    7    7  33.60 309.0  0.3   8.5   4.6  3.5
2020-01-01T00:29:59.900000Z 51.840 36.004 19.6    8    9    9  42.80 217.0  0.6  12.1   9.5  4.5
2020-01-01T00:31:39.900000Z 51.751 36.071 17.2    6    6    6  25.80 284.0  0.4  10.3   6.3  3.0
2020-01-01T00:33:20.300000Z 52.382 36.176  5.4    8   10   10  18.60 188.0  0.3   3.6   2.3  5.0
2020-01-01T00:34:59.600000Z 51.963 35.788  4.3    8   10   10  28.80 235.0  0.4   3.3   3.0  5.0
2020-01-01T00:36:40.200000Z 51.849 36.382 11.9    6    6    6  34.50 260.0  0.3   5.1   3.3  3.0
2020-01-01T00:38:20.300000Z 52.038 35.868 19.2    6    6    6  19.10 282.0  0.3   8.3   2.6  3.0
2020-01-01T00:40:00.100000Z 52.041 36.460 12.0    7    7    7  28.50 109.0  0.3   3.7   3.7  3.5
2020-01-01T00:41:40.000000Z 52.036 36.137  8.5   10   10   10  10.70 103.0  0.4   4.3   3.2  5.0
2020-01-01T00:43:19.500000Z 52.070 35.908  9.9    7    8    8  15.00 221.0  0.4   4.5   2.6  4.0
2020-01-01T00:45:00.300000Z 51.736 35.954  4.9    7   10   10  28.60 227.0  0.3   5.5   2.7  5.0
2020-01-01T00:46:39.200000Z 51.943 36.129  3.6    8   10   10  12.80 277.0  0.4   5.9   9.4  5.0
2020-01-01T00:48:19.500000Z 52.206 36.238  0.0    3    5    5   2.04 273.0  0.2  11.4  15.2  2.5
2020-01-01T00:50:00.200000Z 52.062 36.203 13.1    8    9    9  13.80  98.0  0.4   3.6   3.5  4.5
2020-01-01T00:51:39.700000Z 51.823 36.270  8.1    7    9    9  31.80 277.0  0.2   4.9   2.0  4.5
2020-01-01T00:53:20.800000Z 52.161 35.969  7.5    4    5    5  13.90 225.0  0.0   6.4   3.3  2.5
2020-01-01T00:55:00.400000Z 52.126 35.985 10.0    5    5    5  63.00 212.0  0.3   5.1   8.3  2.5
2020-01-01T00:56:39.800000Z 52.242 36.347 10.8    8    9    9  10.70 104.0  0.3   2.9   2.6  4.5
