                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    ADS   MDS  GAP  RMS  ERH  ERZ  MAG
2020-01-01T00:01:40.000000Z 52.363 35.863  7.0    8    8    8  93.34 35.60 None  0.0 None None  4.0
2020-01-01T00:03:20.000000Z 51.882 35.760 17.7    6    6    6 123.62 62.10 None  0.0 None None  3.0
2020-01-01T00:05:00.000000Z 52.194 35.485 16.5    5    5    5 133.90 85.50 None  0.0 None None  2.5
2020-01-01T00:06:40.000000Z 52.390 35.830  8.8    6    6    6  94.13 39.70 None  0.0 None None  3.0
2020-01-01T00:08:20.000000Z 52.071 35.944 12.4    6    6    6 100.15 69.00 None  0.0 None None  3.0
2020-01-01T00:10:00.000000Z 52.327 35.539 11.7    9    9    9 124.80 61.60 None  0.0 None None  4.5
2020-01-01T00:11:40.000000Z 51.928 35.914 14.8    9    9    9  88.20 17.10 None  0.0 None None  4.5
2020-01-01T00:13:20.000000Z 52.254 35.754 16.8    7    7    7  96.34 37.40 None  0.0 None None  3.5
2020-01-01T00:15:00.000000Z 51.961 35.804  6.4    6    6    6 103.15 54.60 None  0.0 None None  3.0
2020-01-01T00:16:40.000000Z 52.009 36.130  5.4    8    8    8  87.64 22.20 None  0.0 None None  4.0
2020-01-01T00:18:20.000000Z 51.754 36.256 17.5    9    9    9  77.91 34.80 None  0.0 None None  4.5
2020-01-01T00:20:00.000000Z 52.202 36.112 11.5    8    8    8  80.74 16.00 None  0.0 None None  4.0
2020-01-01T00:21:40.000000Z 52.201 35.847 16.4    8    8    8 109.26 76.10 None  0.0 None None  4.0
2020-01-01T00:23:20.000000Z 51.973 35.791  5.0    7    7    7 113.51 55.60 None  0.0 None None  3.5
2020-01-01T00:25:00.000000Z 51.940 36.119 11.7    5    5    5  83.38 28.00 None  0.0 None None  2.5
2020-01-01T00:26:40.000000Z 51.845 35.911 15.8    6    6    6  81.47 22.40 None  0.0 None None  3.0
2020-01-01T00:28:20.000000Z 51.846 35.811  8.4    7    7    7  98.81 30.70 None  0.0 None None  3.5
2020-01-01T00:30:00.000000Z 51.850 35.997 19.2    9    9    9 103.06 42.70 None  0.0 None None  4.5
2020-01-01T00:31:40.000000Z 51.750 36.052 18.5    6    6    6  87.23 25.70 None  0.0 None None  3.0
2020-01-01T00:33:20.000000Z 52.371 36.166  5.5   10   10   10  71.47 18.30 None  0.0 None None  5.0
2020-01-01T00:35:00.000000Z 51.957 35.802  5.4   10   10   10 104.47 27.50 None  0.0 None None  5.0
2020-01-01T00:36:40.000000Z 51.833 36.378 13.1    6    6    6  74.87 35.70 None  0.0 None None  3.0
2020-01-01T00:38:20.000000Z 52.011 35.858 19.1    6    6    6  95.82 20.40 None  0.0 None None  3.0
2020-01-01T00:40:00.000000Z 52.043 36.470 10.7    7    7    7  68.14 27.40 None  0.0 None None  3.5
2020-01-01T00:41:40.000000Z 52.027 36.138  8.2   10   10   10  79.25 10.80 None  0.0 None None  5.0
2020-01-01T00:43:20.000000Z 52.067 35.921 11.3    8    8    8  91.98 13.60 None  0.0 None None  4.0
2020-01-01T00:45:00.000000Z 51.745 35.922  5.4   10   10   10 104.65 29.30 None  0.0 None None  5.0
2020-01-01T00:46:40.000000Z 51.953 36.131  8.3   10   10   10  82.70 12.40 None  0.0 None None  5.0
2020-01-01T00:48:20.000000Z 52.188 36.208 11.6    5    5    5  60.21  5.47 None  0.0 None None  2.5
2020-01-01T00:50:00.000000Z 52.064 36.198 12.4    9    9    9  74.61 13.90 None  0.0 None None  4.5
2020-01-01T00:51:40.000000Z 51.831 36.280  8.5    9    9    9  87.58 32.30 None  0.0 None None  4.5
2020-01-01T00:53:20.000000Z 52.115 35.933  8.5    5    5    5  91.48 13.90 None  0.0 None None  2.5
2020-01-01T00:55:00.000000Z 52.109 35.983  8.3    5    5    5 109.52 63.70 None  0.0 None None  2.5
2020-01-01T00:56:40.000000Z 52.253 36.340 11.9    9    9    9  67.44 10.40 None  0.0 None None  4.5
2020-01-01T00:58:20.000000Z 52.489 35.688  9.3    9    9    9 110.77 56.70 None  0.0 None None  4.5
2020-01-01T01:00:00.000000Z 51.677 35.887  5.3    9    9    9 100.97 36.50 None  0.0 None None  4.5
2020-01-01T01:01:40.000000Z 52.036 36.196 17.6    7    7    7  69.30 16.30 None  0.0 None None  3.5
2020-01-01T01:03:20.000000Z 52.071 35.548 13.3   10   10   10 123.53 54.80 None  0.0 None None  5.0
2020-01-01T01:05:00.000000Z 51.932 36.185 14.6   10   10   10  81.50 18.50 None  0.0 None None  5.0
2020-01-01T01:06:40.000000Z 52.051 36.170  7.8    6    6    6  83.85 47.60 None  0.0 None None  3.0
2020-01-01T01:08:20.000000Z 51.950 35.955 19.9    8    8    8  93.20 40.30 None  0.0 None None  4.0
2020-01-01T01:10:00.000000Z 52.042 36.092 17.9    8    8    8  80.57  5.67 None  0.0 None None  4.0
2020-01-01T01:11:40.000000Z 52.044 36.027  6.8   10   10   10  84.00  1.78 None  0.0 None None  5.0
2020-01-01T01:13:20.000000Z 51.850 36.084 10.0    5    5    5 105.28 17.40 None  0.0 None None  2.5
2020-01-01T01:15:00.000000Z 52.027 36.253 15.8    8    8    8  55.15 15.60 None  0.0 None None  4.0
2020-01-01T01:16:40.000000Z 52.268 36.041 15.7    7    7    7  79.79 21.00 None  0.0 None None  3.5
2020-01-01T01:18:20.000000Z 51.916 35.857 19.0    5    5    5 129.12 83.60 None  0.0 None None  2.5
2020-01-01T01:20:00.000000Z 52.095 36.017 11.3    7    7    7  89.57  5.97 None  0.0 None None  3.5
2020-01-01T01:21:40.000000Z 51.923 36.010 17.5    9    9    9  96.26 10.70 None  0.0 None None  4.5
2020-01-01T01:23:20.000000Z 51.861 36.156 15.1    5    5    5 113.06 60.10 None  0.0 None None  2.5
2020-01-01T01:25:00.000000Z 51.900 36.274  9.6    8    8    8  82.98 27.10 None  0.0 None None  4.0
2020-01-01T01:26:40.000000Z 52.090 36.133 13.8    6    6    6  80.33 16.90 None  0.0 None None  3.0
2020-01-01T01:28:20.000000Z 51.755 36.038 18.2    7    7    7  74.60 25.20 None  0.0 None None  3.5
2020-01-01T01:30:00.000000Z 52.166 35.787 17.7    9    9    9  99.94 30.60 None  0.0 None None  4.5
2020-01-01T01:31:40.000000Z 51.940 36.007 12.6    6    6    6 103.04  9.31 None  0.0 None None  3.0
2020-01-01T01:33:20.000000Z 51.693 36.070 13.8    5    5    5 107.06 49.50 None  0.0 None None  2.5
2020-01-01T01:35:00.000000Z 52.189 35.808  5.5    9    9    9  97.67 29.40 None  0.0 None None  4.5
2020-01-01T01:36:40.000000Z 52.078 35.707  8.6    5    5    5 127.62 93.80 None  0.0 None None  2.5
2020-01-01T01:38:20.000000Z 51.991 35.639 17.0    9    9    9 117.54 44.80 None  0.0 None None  4.5
2020-01-01T01:40:00.000000Z 52.251 36.091 11.2    6    6    6  60.67 18.80 None  0.0 None None  3.0
2020-01-01T01:41:40.000000Z 51.994 35.827  7.6    7    7    7 113.27 51.20 None  0.0 None None  3.5
2020-01-01T01:43:20.000000Z 52.285 36.440 13.2    8    8    8  69.53 11.10 None  0.0 None None  4.0
2020-01-01T01:45:00.000000Z 51.585 36.276 15.5    9    9    9  96.13 33.30 None  0.0 None None  4.5
2020-01-01T01:46:40.000000Z 52.364 36.076 15.1    8    8    8  82.96 29.90 None  0.0 None None  4.0
2020-01-01T01:48:20.000000Z 51.732 36.193 10.6    8    8    8  82.89 32.10 None  0.0 None None  4.0
2020-01-01T01:50:00.000000Z 51.960 35.865 11.6    8    8    8 100.55 20.70 None  0.0 None None  4.0
2020-01-01T01:51:40.000000Z 51.725 36.123 12.6    5    5    5  97.20 29.40 None  0.0 None None  2.5
2020-01-01T01:53:20.000000Z 52.177 35.861 16.7    5    5    5  76.10 23.80 None  0.0 None None  2.5
2020-01-01T01:55:00.000000Z 52.116 35.744 12.8   10   10   10 104.89 33.70 None  0.0 None None  5.0
2020-01-01T01:56:40.000000Z 52.179 36.010 10.9   10   10   10  82.41 13.40 None  0.0 None None  5.0
2020-01-01T01:58:20.000000Z 51.958 35.977 12.3    5    5    5  89.36  9.89 None  0.0 None None  2.5
2020-01-01T02:00:00.000000Z 52.194 36.168  5.4    7    7    7  74.52  9.84 None  0.0 None None  3.5
2020-01-01T02:01:40.000000Z 52.118 36.031  5.7    5    5    5  86.00  7.58 None  0.0 None None  2.5
2020-01-01T02:03:20.000000Z 52.017 36.138 15.6    7    7    7  66.97 10.90 None  0.0 None None  3.5
2020-01-01T02:05:00.000000Z 52.052 36.153 19.7    9    9    9  84.98 17.60 None  0.0 None None  4.5
2020-01-01T02:06:40.000000Z 51.931 35.456 13.9    8    8    8 131.46 65.60 None  0.0 None None  4.0
2020-01-01T02:08:20.000000Z 52.232 36.489 10.9    7    7    7  48.64 11.70 None  0.0 None None  3.5
2020-01-01T02:10:00.000000Z 52.099 35.978  7.6    7    7    7  83.55  9.06 None  0.0 None None  3.5
2020-01-01T02:11:40.000000Z 51.969 35.973 12.5    6    6    6 114.73 70.00 None  0.0 None None  3.0
2020-01-01T02:13:20.000000Z 52.004 35.749 19.7    6    6    6 100.50 32.50 None  0.0 None None  3.0
2020-01-01T02:15:00.000000Z 51.884 35.777 16.6    7    7    7 100.06 32.30 None  0.0 None None  3.5
2020-01-01T02:16:40.000000Z 52.056 35.934 13.1    9    9    9  91.27 12.00 None  0.0 None None  4.5
2020-01-01T02:18:20.000000Z 52.111 35.961 17.9    6    6    6 101.35 11.20 None  0.0 None None  3.0
2020-01-01T02:20:00.000000Z 52.221 36.048  8.5    8    8    8  87.25 16.70 None  0.0 None None  4.0
2020-01-01T02:21:40.000000Z 52.490 35.576 12.7   10   10   10 116.79 65.90 None  0.0 None None  5.0
2020-01-01T02:23:20.000000Z 51.855 36.202 19.3    6    6    6  84.37 31.60 None  0.0 None None  3.0
2020-01-01T02:25:00.000000Z 52.565 35.944 13.7    5    5    5  77.72 43.90 None  0.0 None None  2.5
2020-01-01T02:26:40.000000Z 52.010 35.949 11.9    6    6    6 101.72 70.70 None  0.0 None None  3.0
2020-01-01T02:28:20.000000Z 52.298 35.936  9.0    8    8    8 100.28 63.40 None  0.0 None None  4.0
2020-01-01T02:30:00.000000Z 52.152 35.928 13.2    5    5    5  76.36 16.30 None  0.0 None None  2.5
2020-01-01T02:31:40.000000Z 51.715 36.070 19.4    6    6    6 101.48 29.00 None  0.0 None None  3.0
2020-01-01T02:33:20.000000Z 52.113 36.289  5.1    5    5    5  53.64  8.71 None  0.0 None None  2.5
2020-01-01T02:35:00.000000Z 51.975 35.862 16.8    8    8    8 101.44 20.60 None  0.0 None None  4.0
2020-01-01T02:36:40.000000Z 52.126 36.054 17.3    8    8    8  78.35  8.30 None  0.0 None None  4.0
2020-01-01T02:38:20.000000Z 52.063 35.984 18.3    9    9    9  95.71 32.70 None  0.0 None None  4.5
2020-01-01T02:40:00.000000Z 52.259 36.083 16.1    9    9    9  69.59 20.00 None  0.0 None None  4.5
2020-01-01T02:41:40.000000Z 52.426 36.248 17.1    7    7    7  79.79 30.90 None  0.0 None None  3.5
2020-01-01T02:43:20.000000Z 52.147 35.636 12.8    6    6    6 110.63 46.00 None  0.0 None None  3.0
2020-01-01T02:45:00.000000Z 52.135 36.094 13.4    7    7    7  78.71 19.00 None  0.0 None None  3.5
2020-01-01T02:46:40.000000Z 52.181 36.234 11.4    8    8    8  74.66  3.06 None  0.0 None None  4.0
2020-01-01T02:48:20.000000Z 51.910 36.184  5.8    6    6    6  70.50 19.50 None  0.0 None None  3.0
2020-01-01T02:50:00.000000Z 51.874 36.437 18.1    9    9    9  78.62 35.50 None  0.0 None None  4.5
2020-01-01T02:51:40.000000Z 51.702 35.606 13.5    6    6    6 146.27 85.00 None  0.0 None None  3.0
2020-01-01T02:53:20.000000Z 51.631 35.801  8.0   10   10   10 119.01 45.20 None  0.0 None None  5.0
2020-01-01T02:55:00.000000Z 51.750 36.437 12.6    5    5    5  71.64 45.20 None  0.0 None None  2.5
2020-01-01T02:56:40.000000Z 51.927 35.700 12.3    9    9    9 115.81 39.10 None  0.0 None None  4.5
2020-01-01T02:58:20.000000Z 52.249 35.869 10.4   10   10   10  92.19 27.10 None  0.0 None None  5.0
2020-01-01T03:00:00.000000Z 51.723 36.196 10.2    6    6    6  63.97 32.90 None  0.0 None None  3.0
2020-01-01T03:01:40.000000Z 52.139 35.903 13.1    6    6    6  88.15 39.60 None  0.0 None None  3.0
2020-01-01T03:03:20.000000Z 52.315 36.029 14.4    7    7    7  85.80 25.20 None  0.0 None None  3.5
2020-01-01T03:05:00.000000Z 52.362 36.112 14.2    8    8    8  80.26 21.60 None  0.0 None None  4.0
2020-01-01T03:06:40.000000Z 52.349 36.024 11.9    6    6    6  87.85 28.30 None  0.0 None None  3.0
2020-01-01T03:08:20.000000Z 51.727 36.548  5.4    8    8    8  91.20 35.80 None  0.0 None None  4.0
2020-01-01T03:10:00.000000Z 51.878 35.956  8.4    5    5    5  81.32 17.00 None  0.0 None None  2.5
2020-01-01T03:11:40.000000Z 51.843 35.955  7.7    6    6    6 104.18 19.80 None  0.0 None None  3.0
2020-01-01T03:13:20.000000Z 52.054 36.045 13.8    7    7    7 102.54 59.40 None  0.0 None None  3.5
2020-01-01T03:15:00.000000Z 52.148 36.401 17.9   10   10   10  68.57 16.70 None  0.0 None None  5.0
2020-01-01T03:16:40.000000Z 51.973 35.724 17.0    6    6    6  97.13 35.60 None  0.0 None None  3.0
2020-01-01T03:18:20.000000Z 51.736 35.851 17.0   10   10   10 110.03 34.30 None  0.0 None None  5.0
2020-01-01T03:20:00.000000Z 51.626 36.184 17.2    7    7    7  78.26 38.80 None  0.0 None None  3.5
2020-01-01T03:21:40.000000Z 51.889 35.930  8.8    9    9    9  96.56 18.00 None  0.0 None None  4.5
2020-01-01T03:23:20.000000Z 52.000 35.688 17.6    5    5    5 127.04 97.30 None  0.0 None None  2.5
2020-01-01T03:25:00.000000Z 51.807 36.151 15.1    9    9    9  89.06 23.90 None  0.0 None None  4.5
2020-01-01T03:26:40.000000Z 52.138 35.901  6.2    5    5    5 102.46 77.90 None  0.0 None None  2.5
2020-01-01T03:28:20.000000Z 52.405 35.708  5.3    7    7    7 100.86 49.80 None  0.0 None None  3.5
2020-01-01T03:30:00.000000Z 51.923 35.948  5.2    6    6    6  89.22 14.40 None  0.0 None None  3.0
2020-01-01T03:31:40.000000Z 51.375 36.433 16.3    9    9    9 107.59 21.60 None  0.0 None None  4.5
2020-01-01T03:33:20.000000Z 52.082 35.766  8.7    5    5    5  75.72 30.70 None  0.0 None None  2.5
2020-01-01T03:35:00.000000Z 52.459 36.131  6.6    6    6    6  71.65 41.30 None  0.0 None None  3.0
2020-01-01T03:36:40.000000Z 52.096 35.864 14.4    9    9    9 100.96 20.30 None  0.0 None None  4.5
2020-01-01T03:38:20.000000Z 52.024 35.659 10.2    9    9    9 119.82 42.40 None  0.0 None None  4.5
2020-01-01T03:40:00.000000Z 52.178 35.916  6.0    7    7    7  96.94 69.00 None  0.0 None None  3.5
2020-01-01T03:41:40.000000Z 52.030 36.269  7.4    8    8    8  78.86 15.40 None  0.0 None None  4.0
2020-01-01T03:43:20.000000Z 52.064 36.059 12.9    8    8    8  85.78  3.24 None  0.0 None None  4.0
2020-01-01T03:45:00.000000Z 52.062 35.836  7.5    8    8    8  98.66 48.30 None  0.0 None None  4.0
2020-01-01T03:46:40.000000Z 52.187 36.345  9.1   10   10   10  67.89  9.93 None  0.0 None None  5.0
2020-01-01T03:48:20.000000Z 52.170 36.198 15.7    9    9    9  64.51  7.05 None  0.0 None None  4.5
2020-01-01T03:50:00.000000Z 51.804 35.806 11.8    5    5    5 122.10 75.50 None  0.0 None None  2.5
2020-01-01T03:51:40.000000Z 51.678 36.276  9.8    6    6    6  85.05 41.40 None  0.0 None None  3.0
2020-01-01T03:53:20.000000Z 51.943 36.313 12.1    5    5    5  89.90 24.00 None  0.0 None None  2.5
2020-01-01T03:55:00.000000Z 51.825 35.902  5.4    5    5    5 127.96 51.80 None  0.0 None None  2.5
2020-01-01T03:56:40.000000Z 52.021 36.206 10.8    9    9    9  76.18 17.00 None  0.0 None None  4.5
2020-01-01T03:58:20.000000Z 52.014 36.047 11.3    9    9    9  84.97  2.07 None  0.0 None None  4.5
2020-01-01T04:00:00.000000Z 52.004 36.040  7.8    6    6    6  73.45 29.90 None  0.0 None None  3.0
2020-01-01T04:01:40.000000Z 51.750 36.018  6.6    8    8    8  93.09 25.80 None  0.0 None None  4.0
2020-01-01T04:03:20.000000Z 51.958 35.987 18.5    8    8    8  90.79  9.13 None  0.0 None None  4.0
2020-01-01T04:05:00.000000Z 52.110 35.848 12.7    6    6    6  97.90 22.50 None  0.0 None None  3.0
2020-01-01T04:06:40.000000Z 51.981 35.934  8.1    9    9    9  93.72 12.90 None  0.0 None None  4.5
2020-01-01T04:08:20.000000Z 52.093 36.175 14.1    8    8    8  73.66 13.20 None  0.0 None None  4.0
2020-01-01T04:10:00.000000Z 51.786 36.131 17.3    5    5    5  82.38 24.50 None  0.0 None None  2.5
