                        ORT    Lon    Lat  Dep  Nus  NuP  NuS    ADS    MDS   GAP  RMS  ERH  ERZ  MAG
2020-01-01T00:01:39.600000Z 52.340 35.872  4.7    8    8    8  93.34  33.30 220.0  1.0 10.6  9.6  4.0
2020-01-01T00:03:19.900000Z 51.966 35.751 13.9    6    6    6 120.00  59.90 292.0  0.6 13.5  6.6  3.0
2020-01-01T00:04:58.700000Z 52.117 35.395 48.0    5    5    5 144.98  95.90 297.0  0.8 21.6  8.3  2.5
2020-01-01T00:06:40.800000Z 52.404 35.867  8.2    6    6    6  91.52  38.50 252.0  0.6  9.1  6.0  3.0
2020-01-01T00:08:20.800000Z 52.062 35.985 10.0    6    6    6  97.28  65.10 288.0  0.8 14.7 13.7  3.0
2020-01-01T00:09:59.800000Z 52.321 35.551  7.1    9    9    9 124.44  60.20 248.0  1.0 14.1 12.8  4.5
2020-01-01T00:11:38.900000Z 51.941 35.880 12.6    9    9    9  90.80  19.80 239.0  0.9 11.5  6.5  4.5
2020-01-01T00:13:19.000000Z 52.218 35.700 22.4    7    7    7 101.74  41.30 260.0  0.7 11.2  7.4  3.5
2020-01-01T00:15:00.100000Z 51.907 35.767 12.7    6    6    6 107.93  60.40 239.0  0.4  6.4  4.7  3.0
2020-01-01T00:16:40.200000Z 52.045 36.111  2.8    8    8    8  87.10  21.40 199.0  0.9  8.3 11.0  4.0
2020-01-01T00:18:20.600000Z 51.783 36.295 19.3    9    9    9  75.61  36.10 128.0  0.7  6.1  7.6  4.5
2020-01-01T00:19:59.900000Z 52.216 36.105 15.5    8    8    8  81.25  16.80 161.0  0.7  6.5  3.9  4.0
2020-01-01T00:21:40.300000Z 52.208 35.808 20.4    8    8    8 112.49  78.10 228.0  0.9 13.1 13.9  4.0
2020-01-01T00:23:20.100000Z 52.001 35.814  1.8    7    7    7 111.04  52.20 232.0  0.9 10.9 11.8  3.5
2020-01-01T00:25:00.600000Z 51.911 36.179  9.8    5    5    5  81.14  27.40 192.0  0.6  6.6  5.8  2.5
2020-01-01T00:26:40.100000Z 51.836 35.915 12.9    6    6    6  81.85  22.70 299.0  0.7 13.8  5.3  3.0
2020-01-01T00:28:19.400000Z 51.779 35.802 10.6    7    7    7 103.77  35.10 310.0  1.0 23.1  9.5  3.5
2020-01-01T00:29:58.900000Z 51.803 35.908 25.8    9    9    9 111.61  52.70 229.0  0.9 15.3 27.1  4.5
2020-01-01T00:31:40.100000Z 51.709 36.089 20.5    6    6    6  88.78  29.90 285.0  0.8 17.8  9.2  3.0
2020-01-01T00:33:19.200000Z 52.357 36.146  3.1   10   10   10  72.70  18.60 161.0  1.0  6.7  7.3  5.0
2020-01-01T00:34:59.000000Z 51.942 35.773  3.4   10   10   10 107.65  30.90 237.0  0.8  9.0  8.4  5.0
2020-01-01T00:36:40.400000Z 51.869 36.384 12.0    6    6    6  72.22  32.90 257.0  0.5  8.8  5.1  3.0
2020-01-01T00:38:20.200000Z 52.060 35.875 18.8    6    6    6  92.80  18.50 276.0  0.9 18.0  7.6  3.0
